time_days,event
2475.9166666666665,0
2475.7083333333335,0
2475.2916666666665,0
2475.7916666666665,0
2475.9166666666665,0
2475.6666666666665,0
2475.75,0
2475.7083333333335,0
2475.625,0
2475.9583333333335,0
2476.125,0
2475.4583333333335,0
2475.5416666666665,0
2475.6666666666665,0
2475.8333333333335,0
2475.9166666666665,0
2475.7916666666665,0
2475.7916666666665,0
2475.7916666666665,0
2475.7083333333335,0
2475.3333333333335,0
2476.1666666666665,0
2475.8333333333335,0
2475.9166666666665,0
2475.875,0
2475.75,0
2475.5416666666665,0
2475.75,0
2475.8333333333335,0
2475.5,0
2475.75,0
2475.9166666666665,0
2475.625,0
2475.0833333333335,0
2475.0416666666665,0
2475.8333333333335,0
2475.5,0
2475.7916666666665,0
2475.7916666666665,0
2475.0416666666665,0
1023.4583333333334,0
2474.9583333333335,0
2475.875,0
2475.6666666666665,0
2475.75,0
2475.9166666666665,0
2475.5416666666665,0
2475.7083333333335,0
2475.7916666666665,0
2475.7916666666665,0
2475.75,0
2475.75,0
2475.875,0
2475.8333333333335,0
2477.7916666666665,0
2475.8333333333335,0
2475.8333333333335,0
2475.7916666666665,0
2476.0,0
2476.0416666666665,0
2476.2083333333335,0
2475.7916666666665,0
2475.7083333333335,0
2475.875,0
2475.9166666666665,0
2474.9583333333335,0
2475.7083333333335,0
2001.4166666666667,0
2475.7083333333335,0
2475.5416666666665,0
2477.5833333333335,0
2475.7083333333335,0
2475.8333333333335,0
2475.8333333333335,0
2475.5833333333335,0
2476.0,0
2475.375,0
2475.7083333333335,0
2475.7083333333335,0
2475.7916666666665,0
2475.7916666666665,0
2475.5833333333335,0
2475.6666666666665,0
2475.7916666666665,0
2475.75,0
2475.6666666666665,0
2475.6666666666665,0
2475.6666666666665,0
2475.0,0
2475.9166666666665,0
2475.75,0
2477.8333333333335,0
2475.75,0
2475.6666666666665,0
2475.9583333333335,0
2475.625,0
2475.6666666666665,0
2475.625,0
2475.75,0
2069.75,0
2475.7916666666665,0
2475.4166666666665,0
2475.9583333333335,0
2475.6666666666665,0
2476.25,0
2476.2083333333335,0
2475.8333333333335,0
2475.9583333333335,0
2475.625,0
2475.5833333333335,0
2475.625,0
2475.7916666666665,0
2475.75,0
2475.7083333333335,0
2475.625,0
2475.9166666666665,0
2475.6666666666665,0
2475.5833333333335,0
2475.8333333333335,0
2387.5416666666665,0
2475.875,0
2475.8333333333335,0
2475.625,0
2475.7083333333335,0
2475.9166666666665,0
2476.0,0
2476.3333333333335,0
2475.625,0
2475.75,0
2476.125,0
2475.625,0
2475.4166666666665,0
2475.7083333333335,0
2476.25,0
2475.75,0
2475.8333333333335,0
2475.7916666666665,0
2475.75,0
2476.125,0
2475.7916666666665,0
2475.75,0
2475.6666666666665,0
2475.625,0
2475.6666666666665,0
2475.6666666666665,0
2475.9583333333335,0
2475.9583333333335,0
2475.75,0
2476.0833333333335,0
2476.25,0
2475.8333333333335,0
2475.75,0
2475.3333333333335,0
2475.5833333333335,0
2475.5833333333335,0
2475.75,0
2475.9583333333335,0
2475.7083333333335,0
2475.7083333333335,0
2476.2083333333335,0
2475.7916666666665,0
2475.7083333333335,0
2475.875,0
2475.0416666666665,0
2475.75,0
2475.875,0
2475.6666666666665,0
2475.75,0
2476.0416666666665,0
2475.875,0
2475.7916666666665,0
2475.8333333333335,0
2475.8333333333335,0
2476.0,0
2475.7916666666665,0
2475.9583333333335,0
2475.9583333333335,0
2475.625,0
2475.6666666666665,0
2475.875,0
2475.8333333333335,0
2476.0833333333335,0
